seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
0,8,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank8_seed0.pth,0.1812649138609566,"[0.5550000071525574, 0.5199999809265137, 0.5400000214576721, 0.7049999833106995, 0.6949999928474426, 0.5950000286102295, 0.5299999713897705, 0.550000011920929]",0.5862499997019768,0.06890890493165851
1,8,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank8_seed1.pth,0.18081978257087145,"[0.574999988079071, 0.46000000834465027, 0.5550000071525574, 0.7850000262260437, 0.7400000095367432, 0.5149999856948853, 0.5849999785423279, 0.6100000143051147]",0.6031250022351742,0.10219276407828712
2,8,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank8_seed2.pth,0.18088825616987755,"[0.5799999833106995, 0.6150000095367432, 0.5799999833106995, 0.7300000190734863, 0.7450000047683716, 0.5799999833106995, 0.5400000214576721, 0.6000000238418579]",0.6212500035762787,0.07012266470255836
0,8,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank16_seed0.pth,0.18135975877604882,"[0.7350000143051147, 0.6650000214576721, 0.6650000214576721, 0.7950000166893005, 0.7850000262260437, 0.6850000023841858, 0.6600000262260437, 0.7749999761581421]",0.7206250131130219,0.05474014814728706
1,8,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank16_seed1.pth,0.18111687694844525,"[0.7549999952316284, 0.7250000238418579, 0.6850000023841858, 0.6449999809265137, 0.6399999856948853, 0.7049999833106995, 0.7200000286102295, 0.6800000071525574]",0.6943750008940697,0.037201949180496865
2,8,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim8_fbank16_seed2.pth,0.18135314834180127,"[0.7200000286102295, 0.6200000047683716, 0.6800000071525574, 0.7950000166893005, 0.7049999833106995, 0.6949999928474426, 0.6499999761581421, 0.7300000190734863]",0.6993750035762787,0.04958815601447485
0,10,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank2_seed0.pth,0.18003939151679813,"[0.574999988079071, 0.49000000953674316, 0.5450000166893005, 0.574999988079071, 0.6399999856948853, 0.5199999809265137, 0.5099999904632568, 0.5350000262260437]",0.5487499982118607,0.04428246832338219
1,10,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank2_seed1.pth,0.17977569113408678,"[0.5049999952316284, 0.5, 0.5099999904632568, 0.5849999785423279, 0.6850000023841858, 0.49000000953674316, 0.5099999904632568, 0.5149999856948853]",0.5374999940395355,0.061997983597837786
2,10,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank2_seed2.pth,0.17949513249898646,"[0.6200000047683716, 0.4950000047683716, 0.6299999952316284, 0.7200000286102295, 0.699999988079071, 0.6000000238418579, 0.5, 0.6299999952316284]",0.6118750050663948,0.07623719329896328
0,10,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank4_seed0.pth,0.1800178558008432,"[0.5099999904632568, 0.4950000047683716, 0.5350000262260437, 0.5249999761581421, 0.48500001430511475, 0.49000000953674316, 0.5249999761581421, 0.5199999809265137]",0.510624997317791,0.017399257478298475
1,10,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank4_seed1.pth,0.17968501135324783,"[0.6600000262260437, 0.5099999904632568, 0.5849999785423279, 0.6349999904632568, 0.7149999737739563, 0.5600000023841858, 0.5950000286102295, 0.6700000166893005]",0.6162500008940697,0.06203577640676086
2,10,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank4_seed2.pth,0.17974846056973506,"[0.6650000214576721, 0.5849999785423279, 0.6899999976158142, 0.6800000071525574, 0.6800000071525574, 0.6349999904632568, 0.5849999785423279, 0.6449999809265137]",0.6456249952316284,0.039006220711172865
0,10,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank8_seed0.pth,0.18079078791290745,"[0.6100000143051147, 0.5199999809265137, 0.550000011920929, 0.7699999809265137, 0.7450000047683716, 0.5950000286102295, 0.5649999976158142, 0.6150000095367432]",0.6212500035762787,0.08425222251858536
1,10,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank8_seed1.pth,0.1810268217116152,"[0.6449999809265137, 0.5649999976158142, 0.574999988079071, 0.6150000095367432, 0.7250000238418579, 0.6399999856948853, 0.5950000286102295, 0.6349999904632568]",0.6243750005960464,0.04719888500053938
2,10,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank8_seed2.pth,0.1811517950389553,"[0.675000011920929, 0.5649999976158142, 0.6549999713897705, 0.824999988079071, 0.7749999761581421, 0.6549999713897705, 0.5950000286102295, 0.6650000214576721]",0.6762499958276749,0.08053531022581721
0,10,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim10_fbank16_seed0.pth,0.1817108875299438,"[0.7099999785423279, 0.6150000095367432, 0.6850000023841858, 0.7850000262260437, 0.7400000095367432, 0.6800000071525574, 0.5849999785423279, 0.7300000190734863]",0.6912500038743019,0.061529981955361975
